Timestamp, NVMe_Temperature, CPU0_Tctl, CPU1_Tctl, GPU0_Temperature, GPU1_Temperature, GPU2_Temperature, GPU3_Temperature, GPU4_Temperature, GPU5_Temperature, GPU6_Temperature, GPU7_Temperature, MEM_TOTAL_MB, MEM_USED_MB
2024-08-02 04:23:30, 27°C, +27.0°C, +27.1°C , 29°C, 30°C, 29°C, 29°C, 28°C, 29°C, 29°C, 29°C, 257788MB, 3180MB
2024-08-02 04:23:31, 27°C, +27.0°C, +27.2°C , 29°C, 29°C, 29°C, 29°C, 28°C, 29°C, 29°C, 29°C, 257788MB, 3178MB
2024-08-02 04:23:32, 27°C, +27.0°C, +27.1°C , 29°C, 29°C, 29°C, 29°C, 28°C, 28°C, 29°C, 29°C, 257788MB, 3181MB
2024-08-02 04:23:34, 27°C, +27.1°C, +27.2°C , 29°C, 29°C, 29°C, 29°C, 28°C, 28°C, 29°C, 29°C, 257788MB, 3180MB
2024-08-02 04:23:35, 27°C, +27.1°C, +27.2°C , 29°C, 29°C, 29°C, 29°C, 28°C, 28°C, 29°C, 29°C, 257788MB, 3170MB
2024-08-02 04:23:36, 27°C, +27.1°C, +27.4°C , 29°C, 29°C, 29°C, 29°C, 28°C, 29°C, 29°C, 29°C, 257788MB, 3172MB
2024-08-02 04:23:37, 27°C, +27.2°C, +27.2°C , 29°C, 29°C, 29°C, 29°C, 28°C, 29°C, 29°C, 29°C, 257788MB, 3165MB
2024-08-02 04:23:38, 27°C, +27.0°C, +27.2°C , 29°C, 29°C, 29°C, 29°C, 28°C, 29°C, 29°C, 29°C, 257788MB, 3168MB
2024-08-02 04:23:39, 27°C, +27.1°C, +27.4°C , 29°C, 29°C, 29°C, 29°C, 28°C, 29°C, 29°C, 29°C, 257788MB, 3167MB
2024-08-02 04:23:40, 27°C, +27.2°C, +27.4°C , 29°C, 29°C, 29°C, 29°C, 28°C, 28°C, 29°C, 29°C, 257788MB, 3167MB
